Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 3,68145083484706E-06 0 3,68145083484706E-06 0 
1000 3,69228712315817E-06 0 3,69228712315817E-06 0 
1500 3,71049998193484E-06 0 3,71049998193484E-06 0 
2000 3,73632275341151E-06 0 3,73632275341151E-06 0 
2500 3,7700933717133E-06 0 3,7700933717133E-06 0 
3000 3,81226686840819E-06 0 3,81226686840819E-06 0 
3500 3,86343100444719E-06 0 3,86343100444719E-06 0 
4000 3,9243301444003E-06 0 3,9243301444003E-06 0 
4500 3,99589595190264E-06 0 3,99589595190264E-06 0 
5000 4,07928854428974E-06 0 4,07928854428974E-06 0 
5500 4,17595231283485E-06 0 4,17595231283485E-06 0 
6000 4,28769300242493E-06 0 4,28769300242493E-06 0 
6500 4,41678207607765E-06 0 4,41678207607765E-06 0 
7000 4,56610496257781E-06 0 4,56610496257781E-06 0 
7500 4,73937313927308E-06 0 4,73937313927308E-06 0 
8000 4,94143455398444E-06 0 4,94143455398444E-06 0 
8500 5,17874286742881E-06 0 5,17874286742881E-06 0 
9000 5,46008834589884E-06 0 5,46008834589884E-06 0 
9500 5,79778190967772E-06 0 5,79778190967772E-06 0 
10000 6,20966147835134E-06 0 6,20966147835134E-06 0 
