Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 4,13118152664538E-06 0 4,13118152664538E-06 0 
1000 4,14329338127573E-06 0 4,14329338127573E-06 0 
1500 4,16364912325662E-06 0 4,16364912325662E-06 0 
2000 4,19250864069909E-06 0 4,19250864069909E-06 0 
2500 4,23024869178334E-06 0 4,23024869178334E-06 0 
3000 4,27737495556357E-06 0 4,27737495556357E-06 0 
3500 4,33454204085137E-06 0 4,33454204085137E-06 0 
4000 4,40257781519904E-06 0 4,40257781519904E-06 0 
4500 4,48251830675872E-06 0 4,48251830675872E-06 0 
5000 4,57565374745172E-06 0 4,57565374745172E-06 0 
5500 4,68358962280035E-06 0 4,68358962280035E-06 0 
6000 4,80833148230886E-06 0 4,80833148230886E-06 0 
6500 4,95240260534047E-06 0 4,95240260534047E-06 0 
7000 5,11900520905328E-06 0 5,11900520905328E-06 0 
7500 5,31225612121489E-06 0 5,31225612121489E-06 0 
8000 5,5375300007654E-06 0 5,5375300007654E-06 0 
8500 5,8019755897476E-06 0 5,8019755897476E-06 0 
9000 6,11532254879421E-06 0 6,11532254879421E-06 0 
9500 6,49118499040924E-06 0 6,49118499040924E-06 0 
10000 6,94926814048813E-06 0 6,94926814048813E-06 0 
