Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 6,56269470766802E-07 0 6,56269470766802E-07 0 
1000 6,58104642781154E-07 0 6,58104642781154E-07 0 
1500 6,61187751660464E-07 0 6,61187751660464E-07 0 
2000 6,65556392220878E-07 0 6,65556392220878E-07 0 
2500 6,712649120999E-07 0 6,712649120999E-07 0 
3000 6,78386246732998E-07 0 6,78386246732998E-07 0 
3500 6,87014440003964E-07 0 6,87014440003964E-07 0 
4000 6,9726830354E-07 0 6,9726830354E-07 0 
4500 7,09295933987164E-07 0 7,09295933987164E-07 0 
5000 7,23281116776775E-07 0 7,23281116776775E-07 0 
5500 7,3945161105371E-07 0 7,3945161105371E-07 0 
6000 7,58090745733853E-07 0 7,58090745733853E-07 0 
6500 7,79552875584955E-07 0 7,79552875584955E-07 0 
7000 8,04285328115384E-07 0 8,04285328115384E-07 0 
7500 8,32859495147886E-07 0 8,32859495147886E-07 0 
8000 8,66016115708135E-07 0 8,66016115708135E-07 0 
8500 9,04732811335407E-07 0 9,04732811335407E-07 0 
9000 9,50328935545031E-07 0 9,50328935545031E-07 0 
9500 1,004633386259E-06 0 1,004633386259E-06 0 
10000 1,07026638218599E-06 0 1,07026638218599E-06 0 
