Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 2,7180568622498E-06 0 2,7180568622498E-06 0 
1000 2,72597674211283E-06 0 2,72597674211283E-06 0 
1500 2,73928651495225E-06 0 2,73928651495225E-06 0 
2000 2,75815523309575E-06 0 2,75815523309575E-06 0 
2500 2,78282760746151E-06 0 2,78282760746151E-06 0 
3000 2,81363242038424E-06 0 2,81363242038424E-06 0 
3500 2,85099491748042E-06 0 2,85099491748042E-06 0 
4000 2,89545272380565E-06 0 2,89545272380565E-06 0 
4500 2,9476784675353E-06 0 2,9476784675353E-06 0 
5000 3,00850933854235E-06 0 3,00850933854235E-06 0 
5500 3,07898682194718E-06 0 3,07898682194718E-06 0 
6000 3,16041115411281E-06 0 3,16041115411281E-06 0 
6500 3,25441675386173E-06 0 3,25441675386173E-06 0 
7000 3,36307704174033E-06 0 3,36307704174033E-06 0 
7500 3,48905564351298E-06 0 3,48905564351298E-06 0 
8000 3,63582677209706E-06 0 3,63582677209706E-06 0 
8500 3,80800764787637E-06 0 3,80800764787637E-06 0 
9000 4,01187674015091E-06 0 4,01187674015091E-06 0 
9500 4,25620953592443E-06 0 4,25620953592443E-06 0 
10000 4,55369422525109E-06 0 4,55369422525109E-06 0 
