Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 7,10724677333019E-07 0 7,10724677333019E-07 0 
1000 7,12690372495217E-07 0 7,12690372495217E-07 0 
1500 7,15992605648808E-07 0 7,15992605648808E-07 0 
2000 7,20671181397847E-07 0 7,20671181397847E-07 0 
2500 7,2678382423419E-07 0 7,2678382423419E-07 0 
3000 7,34407848312912E-07 0 7,34407848312912E-07 0 
3500 7,43643042255826E-07 0 7,43643042255826E-07 0 
4000 7,54615335551989E-07 0 7,54615335551989E-07 0 
4500 7,67481651564594E-07 0 7,67481651564594E-07 0 
5000 7,82436714530377E-07 0 7,82436714530377E-07 0 
5500 7,99721661337571E-07 0 7,99721661337571E-07 0 
6000 8,19636369442378E-07 0 8,19636369442378E-07 0 
6500 8,42555763824748E-07 0 8,42555763824748E-07 0 
7000 8,68952930943578E-07 0 8,68952930943578E-07 0 
7500 8,99432038181658E-07 0 8,99432038181658E-07 0 
8000 9,3477616758264E-07 0 9,3477616758264E-07 0 
8500 9,76018981191373E-07 0 9,76018981191373E-07 0 
9000 1,02455602757345E-06 0 1,02455602757345E-06 0 
9500 1,08232343620784E-06 0 1,08232343620784E-06 0 
10000 1,15209971340846E-06 0 1,15209971340846E-06 0 
