Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 2,70374140853846E-07 180 -2,70374140853846E-07 0 
1000 2,71300162779653E-07 180 -2,71300162779653E-07 0 
1500 2,72858255101482E-07 180 -2,72858255101482E-07 0 
2000 2,75070902944208E-07 180 -2,75070902944208E-07 0 
2500 2,77970872986089E-07 180 -2,77970872986089E-07 0 
3000 2,81602385854285E-07 180 -2,81602385854285E-07 0 
3500 2,86022878270842E-07 180 -2,86022878270842E-07 0 
4000 2,91305561006538E-07 180 -2,91305561006538E-07 0 
4500 2,97542602112344E-07 180 -2,97542602112344E-07 0 
5000 3,04849777421623E-07 180 -3,04849777421623E-07 0 
5500 3,13372517268817E-07 180 -3,13372517268817E-07 0 
6000 3,2329431221001E-07 180 -3,2329431221001E-07 0 
6500 3,34848557770329E-07 180 -3,34848557770329E-07 0 
7000 3,48335177591252E-07 180 -3,48335177591252E-07 0 
7500 3,64144771225483E-07 180 -3,64144771225483E-07 0 
8000 3,82794464570679E-07 180 -3,82794464570679E-07 0 
8500 4,04982362312012E-07 180 -4,04982362312012E-07 0 
9000 4,31673722545156E-07 180 -4,31673722545156E-07 0 
9500 4,6424161226355E-07 180 -4,6424161226355E-07 0 
10000 5,04708268067589E-07 180 -5,04708268067589E-07 0 
