Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 1,12006230210682E-05 0 1,12006230210682E-05 0 
1000 1,12339021143271E-05 0 1,12339021143271E-05 0 
1500 1,12898383122229E-05 0 1,12898383122229E-05 0 
2000 1,13691542082961E-05 0 1,13691542082961E-05 0 
2500 1,14728970856959E-05 0 1,14728970856959E-05 0 
3000 1,16024752969679E-05 0 1,16024752969679E-05 0 
3500 1,17597105599998E-05 0 1,17597105599998E-05 0 
4000 1,19469100354763E-05 0 1,19469100354763E-05 0 
4500 1,2166962505944E-05 0 1,2166962505944E-05 0 
5000 1,24234666145639E-05 0 1,24234666145639E-05 0 
5500 1,27209079892054E-05 0 1,27209079892054E-05 0 
6000 1,30648929825838E-05 0 1,30648929825838E-05 0 
6500 1,34624829115637E-05 0 1,34624829115637E-05 0 
7000 1,39226522151148E-05 0 1,39226522151148E-05 0 
7500 1,4456952612818E-05 0 1,4456952612818E-05 0 
8000 1,50804848999542E-05 0 1,50804848999542E-05 0 
8500 1,58133675540739E-05 0 1,58133675540739E-05 0 
9000 1,66830218404357E-05 0 1,66830218404357E-05 0 
9500 1,77278798219049E-05 0 1,77278798219049E-05 0 
10000 1,90036621461331E-05 0 1,90036621461331E-05 0 
