Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 7,86145483289147E-06 0 7,86145483289147E-06 0 
1000 7,88479655966512E-06 0 7,88479655966512E-06 0 
1500 7,9240294326155E-06 0 7,9240294326155E-06 0 
2000 7,97966094978619E-06 0 7,97966094978619E-06 0 
2500 8,05242484602786E-06 0 8,05242484602786E-06 0 
3000 8,14330792309192E-06 0 8,14330792309192E-06 0 
3500 8,25358802103437E-06 0 8,25358802103437E-06 0 
4000 8,38488244880864E-06 0 8,38488244880864E-06 0 
4500 8,53921596899454E-06 0 8,53921596899454E-06 0 
5000 8,71911197464215E-06 0 8,71911197464215E-06 0 
5500 8,92771413418814E-06 0 8,92771413418814E-06 0 
6000 9,1689539658546E-06 0 9,1689539658546E-06 0 
6500 9,44778071243491E-06 0 9,44778071243491E-06 0 
7000 9,7704864856496E-06 0 9,7704864856496E-06 0 
7500 1,01451687442022E-05 0 1,01451687442022E-05 0 
8000 1,05824146885425E-05 0 1,05824146885425E-05 0 
8500 1,10963301267475E-05 0 1,10963301267475E-05 0 
9000 1,17061413220654E-05 0 1,17061413220654E-05 0 
9500 1,24387988762464E-05 0 1,24387988762464E-05 0 
10000 1,33333835492522E-05 0 1,33333835492522E-05 0 
