Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 6,97573405261664E-07 180 -6,97573405261664E-07 0 
1000 6,99768982315163E-07 180 -6,99768982315163E-07 0 
1500 7,03460848683335E-07 180 -7,03460848683335E-07 0 
2000 7,08699040785632E-07 180 -7,08699040785632E-07 0 
2500 7,15556168984222E-07 180 -7,15556168984222E-07 0 
3000 7,24130003959544E-07 180 -7,24130003959544E-07 0 
3500 7,34547352720938E-07 180 -7,34547352720938E-07 0 
4000 7,46969050169355E-07 180 -7,46969050169355E-07 0 
4500 7,61597089393717E-07 180 -7,61597089393717E-07 0 
5000 7,78683894253618E-07 180 -7,78683894253618E-07 0 
5500 7,98545165991982E-07 180 -7,98545165991982E-07 0 
6000 8,21577003762286E-07 180 -8,21577003762286E-07 0 
6500 8,48280400589374E-07 180 -8,48280400589374E-07 0 
7000 8,79294894673421E-07 180 -8,79294894673421E-07 0 
7500 9,15447696314686E-07 180 -9,15447696314686E-07 0 
8000 9,57825498915099E-07 180 -9,57825498915099E-07 0 
8500 1,00788393808671E-06 180 -1,00788393808671E-06 0 
9000 1,0676178732183E-06 180 -1,0676178732183E-06 0 
9500 1,13983865901446E-06 180 -1,13983865901446E-06 0 
10000 1,22864494045416E-06 180 -1,22864494045416E-06 0 
