Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 7,12021028448362E-06 0 7,12021028448362E-06 0 
1000 7,14132102075382E-06 0 7,14132102075382E-06 0 
1500 7,17680370598828E-06 0 7,17680370598828E-06 0 
2000 7,22711615708249E-06 0 7,22711615708249E-06 0 
2500 7,29292139567406E-06 0 7,29292139567406E-06 0 
3000 7,37511004444968E-06 0 7,37511004444968E-06 0 
3500 7,47483613849909E-06 0 7,47483613849909E-06 0 
4000 7,59355930313177E-06 0 7,59355930313177E-06 0 
4500 7,7331076226983E-06 0 7,7331076226983E-06 0 
5000 7,8957581308714E-06 0 7,8957581308714E-06 0 
5500 8,08434720056539E-06 0 8,08434720056539E-06 0 
6000 8,30242220217769E-06 0 8,30242220217769E-06 0 
6500 8,55444704939146E-06 0 8,55444704939146E-06 0 
7000 8,84609539753001E-06 0 8,84609539753001E-06 0 
7500 9,18466685106978E-06 0 9,18466685106978E-06 0 
8000 9,57970291892707E-06 0 9,57970291892707E-06 0 
8500 1,00439083325909E-05 0 1,00439083325909E-05 0 
9000 1,05945973700727E-05 0 1,05945973700727E-05 0 
9500 1,12560217075952E-05 0 1,12560217075952E-05 0 
10000 1,20633296774031E-05 0 1,20633296774031E-05 0 
