Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 2,63355728691295E-06 0 2,63355728691295E-06 0 
1000 2,64122638782283E-06 0 2,64122638782283E-06 0 
1500 2,6541148230308E-06 0 2,6541148230308E-06 0 
2000 2,67238621631805E-06 0 2,67238621631805E-06 0 
2500 2,69627737736755E-06 0 2,69627737736755E-06 0 
3000 2,72610664353579E-06 0 2,72610664353579E-06 0 
3500 2,76228557538616E-06 0 2,76228557538616E-06 0 
4000 2,8053347449486E-06 0 2,8053347449486E-06 0 
4500 2,855905307797E-06 0 2,855905307797E-06 0 
5000 2,91480755265638E-06 0 2,91480755265638E-06 0 
5500 2,98304998125332E-06 0 2,98304998125332E-06 0 
6000 3,06189112109223E-06 0 3,06189112109223E-06 0 
6500 3,15291353558678E-06 0 3,15291353558678E-06 0 
7000 3,25812474955001E-06 0 3,25812474955001E-06 0 
7500 3,38010374889564E-06 0 3,38010374889564E-06 0 
8000 3,52221482557979E-06 0 3,52221482557979E-06 0 
8500 3,68892997926196E-06 0 3,68892997926196E-06 0 
9000 3,88633063153065E-06 0 3,88633063153065E-06 0 
9500 4,12291922202712E-06 0 4,12291922202712E-06 0 
10000 4,41099311387916E-06 0 4,41099311387916E-06 0 
