Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 1,03798990949144E-05 0 1,03798990949144E-05 0 
1000 1,04107352854044E-05 0 1,04107352854044E-05 0 
1500 1,04625653420953E-05 0 1,04625653420953E-05 0 
2000 1,05360588804615E-05 0 1,05360588804615E-05 0 
2500 1,06321863313497E-05 0 1,06321863313497E-05 0 
3000 1,07522516827885E-05 0 1,07522516827885E-05 0 
3500 1,08979434116918E-05 0 1,08979434116918E-05 0 
4000 1,10713988306088E-05 0 1,10713988306088E-05 0 
4500 1,12752934455784E-05 0 1,12752934455784E-05 0 
5000 1,1512961691551E-05 0 1,1512961691551E-05 0 
5500 1,17885581403243E-05 0 1,17885581403243E-05 0 
6000 1,21072773708875E-05 0 1,21072773708875E-05 0 
6500 1,24756595596409E-05 0 1,24756595596409E-05 0 
7000 1,29020181702799E-05 0 1,29020181702799E-05 0 
7500 1,33970529532235E-05 0 1,33970529532235E-05 0 
8000 1,39747508001165E-05 0 1,39747508001165E-05 0 
8500 1,46537449836615E-05 0 1,46537449836615E-05 0 
9000 1,54594326886581E-05 0 1,54594326886581E-05 0 
9500 1,64274038070289E-05 0 1,64274038070289E-05 0 
10000 1,76092562469421E-05 0 1,76092562469421E-05 0 
