Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 1,70683748024203E-06 0 1,70683748024203E-06 0 
1000 1,71175270224921E-06 0 1,71175270224921E-06 0 
1500 1,72001233522678E-06 0 1,72001233522678E-06 0 
2000 1,73172011841416E-06 0 1,73172011841416E-06 0 
2500 1,74702614685884E-06 0 1,74702614685884E-06 0 
3000 1,76613212943266E-06 0 1,76613212943266E-06 0 
3500 1,78929866478938E-06 0 1,78929866478938E-06 0 
4000 1,81685524580644E-06 0 1,81685524580644E-06 0 
4500 1,84921370305346E-06 0 1,84921370305346E-06 0 
5000 1,88688613889099E-06 0 1,88688613889099E-06 0 
5500 1,93050914276682E-06 0 1,93050914276682E-06 0 
6000 1,98087678882075E-06 0 1,98087678882075E-06 0 
6500 2,0389858548242E-06 0 2,0389858548242E-06 0 
7000 2,10609962891795E-06 0 2,10609962891795E-06 0 
7500 2,18383848960002E-06 0 2,18383848960002E-06 0 
8000 2,27431314669957E-06 0 2,27431314669957E-06 0 
8500 2,3803247017895E-06 0 2,3803247017895E-06 0 
9000 2,50567518378375E-06 0 2,50567518378375E-06 0 
9500 2,65566990265143E-06 0 2,65566990265143E-06 0 
10000 2,83796589428675E-06 0 2,83796589428675E-06 0 
