Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 9,21780906537606E-06 0 9,21780906537606E-06 0 
1000 9,24520759326697E-06 0 9,24520759326697E-06 0 
1500 9,29125940274389E-06 0 9,29125940274389E-06 0 
2000 9,35656066758384E-06 0 9,35656066758384E-06 0 
2500 9,44197290664306E-06 0 9,44197290664306E-06 0 
3000 9,54865731728205E-06 0 9,54865731728205E-06 0 
3500 9,67811365626403E-06 0 9,67811365626403E-06 0 
4000 9,83224231276836E-06 0 9,83224231276836E-06 0 
4500 1,00134238891769E-05 0 1,00134238891769E-05 0 
5000 1,02246224287228E-05 0 1,02246224287228E-05 0 
5500 1,0469533435753E-05 0 1,0469533435753E-05 0 
6000 1,07527769159788E-05 0 1,07527769159788E-05 0 
6500 1,10801704522601E-05 0 1,10801704522601E-05 0 
7000 1,14591093733907E-05 0 1,14591093733907E-05 0 
7500 1,18991144972824E-05 0 1,18991144972824E-05 0 
8000 1,24126324863028E-05 0 1,24126324863028E-05 0 
8500 1,30162468394701E-05 0 1,30162468394701E-05 0 
9000 1,37325673676969E-05 0 1,37325673676969E-05 0 
9500 1,45932851864927E-05 0 1,45932851864927E-05 0 
10000 1,56443600189959E-05 0 1,56443600189959E-05 0 
