Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 5,5791182376197E-06 0 5,5791182376197E-06 0 
1000 5,5955804327823E-06 0 5,5955804327823E-06 0 
1500 5,62324862585228E-06 0 5,62324862585228E-06 0 
2000 5,66247865663172E-06 0 5,66247865663172E-06 0 
2500 5,71378484437446E-06 0 5,71378484437446E-06 0 
3000 5,7778588598012E-06 0 5,7778588598012E-06 0 
3500 5,85559564569849E-06 0 5,85559564569849E-06 0 
4000 5,94812831877789E-06 0 5,94812831877789E-06 0 
4500 6,05687387178477E-06 0 6,05687387178477E-06 0 
5000 6,1835983160563E-06 0 6,1835983160563E-06 0 
5500 6,33050024134718E-06 0 6,33050024134718E-06 0 
6000 6,50032768589881E-06 0 6,50032768589881E-06 0 
6500 6,69653752538579E-06 0 6,69653752538579E-06 0 
7000 6,92352136866248E-06 0 6,92352136866248E-06 0 
7500 7,1869269504532E-06 0 7,1869269504532E-06 0 
8000 7,49413084122352E-06 0 7,49413084122352E-06 0 
8500 7,85495103627909E-06 0 7,85495103627909E-06 0 
9000 8,28275665298861E-06 0 8,28275665298861E-06 0 
9500 8,79626122696209E-06 0 8,79626122696209E-06 0 
10000 9,42256588132295E-06 0 9,42256588132295E-06 0 
