Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 5,36452597899029E-07 180 -5,36452597899029E-07 0 
1000 5,38109757641791E-07 180 -5,38109757641791E-07 0 
1500 5,40895896961047E-07 180 -5,40895896961047E-07 0 
2000 5,44848251848862E-07 180 -5,44848251848862E-07 0 
2500 5,50020779144234E-07 180 -5,50020779144234E-07 0 
3000 5,56486110525611E-07 180 -5,56486110525611E-07 0 
3500 5,64338343167492E-07 180 -5,64338343167492E-07 0 
4000 5,73696841144056E-07 180 -5,73696841144056E-07 0 
4500 5,84711319362441E-07 180 -5,84711319362441E-07 0 
5000 5,97568735827281E-07 180 -5,97568735827281E-07 0 
5500 6,12502653041247E-07 180 -6,12502653041247E-07 0 
6000 6,29805771978909E-07 180 -6,29805771978909E-07 0 
6500 6,49847887501664E-07 180 -6,49847887501664E-07 0 
7000 6,73100345238709E-07 180 -6,73100345238709E-07 0 
7500 7,00172037682023E-07 180 -7,00172037682023E-07 0 
8000 7,3186172855344E-07 180 -7,3186172855344E-07 0 
8500 7,692375696422E-07 180 -7,692375696422E-07 0 
9000 8,13761246831746E-07 180 -8,13761246831746E-07 0 
9500 8,67489475808725E-07 180 -8,67489475808725E-07 0 
10000 9,3341609641584E-07 180 -9,3341609641584E-07 0 
